Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württemberg,Germany,2020-03-14T15:00:00,569,2,0
Bayern,Germany,2020-03-14T15:00:00,681,1,0
Berlin,Germany,2020-03-14T15:00:00,216,0,0
Brandenburg,Germany,2020-03-14T15:00:00,61,0,0
Bremen,Germany,2020-03-14T15:00:00,50,0,0
Hamburg,Germany,2020-03-14T15:00:00,158,0,0
Hessen,Germany,2020-03-14T15:00:00,203,0,0
Mecklenburg-Vorpommern,Germany,2020-03-14T15:00:00,45,0,0
Niedersachsen,Germany,2020-03-14T15:00:00,253,0,0
Nordrhein-Westfalen,Germany,2020-03-14T15:00:00,1151,5,0
Rheinland-Pfalz,Germany,2020-03-14T15:00:00,121,0,0
Saarland,Germany,2020-03-14T15:00:00,40,0,0
Sachsen,Germany,2020-03-14T15:00:00,93,0,0
Sachsen-Anhalt,Germany,2020-03-14T15:00:00,45,0,0
SchleswigHolstein,Germany,2020-03-14T15:00:00,60,0,0
Thüringen,Germany,2020-03-14T15:00:00,46,0,0
Gesamt,Germany,2020-03-14T15:00:00,3795,8,0

Baden-Württemberg,eGermany,2020-03-14T15:00:00,506,2,0
Bayern,eGermany,2020-03-14T15:00:00,605,1,0
Berlin,eGermany,2020-03-14T15:00:00,216,0,0
Brandenburg,eGermany,2020-03-14T15:00:00,57,0,0
Bremen,eGermany,2020-03-14T15:00:00,50,0,0
Hamburg,eGermany,2020-03-14T15:00:00,119,0,0
Hessen,eGermany,2020-03-14T15:00:00,141,0,0
Mecklenburg-Vorpommern,eGermany,2020-03-14T15:00:00,23,0,0
Niedersachsen,eGermany,2020-03-14T15:00:00,187,0,0
Nordrhein-Westfalen,eGermany,2020-03-14T15:00:00,1154,5,0
Rheinland-Pfalz,eGermany,2020-03-14T15:00:00,121,0,0
Saarland,eGermany,2020-03-14T15:00:00,31,0,0
Sachsen,eGermany,2020-03-14T15:00:00,86,0,0
Sachsen-Anhalt,eGermany,2020-03-14T15:00:00,40,0,0
SchleswigHolstein,eGermany,2020-03-14T15:00:00,54,0,0
Thüringen,eGermany,2020-03-14T15:00:00,31,0,0
Gesamt,eGermany,2020-03-14T15:00:00,3421,8,0
