Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württemberg,eGermany,2020-03-23T00:00:00,3811,21,0
Bayern,eGermany,2020-03-23T00:00:00,4892,26,0
Berlin,eGermany,2020-03-23T00:00:00,1077,1,0
Brandenburg,eGermany,2020-03-23T00:00:00,288,0,0
Bremen,eGermany,2020-03-23T00:00:00,170,0,0
Hamburg,eGermany,2020-03-23T00:00:00,943,0,0
Hessen,eGermany,2020-03-23T00:00:00,1347,3,0
Mecklenburg-Vorpommern,eGermany,2020-03-23T00:00:00,172,0,0
Niedersachsen,eGermany,2020-03-23T00:00:00,1483,4,0
Nordrhein-Westfalen,eGermany,2020-03-23T00:00:00,5615,28,0
Rheinland-Pfalz,eGermany,2020-03-23T00:00:00,1177,2,0
Saarland,eGermany,2020-03-23T00:00:00,200,0,0
Sachsen,eGermany,2020-03-23T00:00:00,653,0,0
Sachsen-Anhalt,eGermany,2020-03-23T00:00:00,212,0,0
SchleswigHolstein,eGermany,2020-03-23T00:00:00,383,1,0
Thüringen,eGermany,2020-03-23T00:00:00,249,0,0
Gesamt,eGermany,2020-03-23T00:00:00,22672,86,0
