Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württemberg,Germany,2020-03-09T10:00:00,199,0,0
Bayern,Germany,2020-03-09T10:00:00,256,0,0
Berlin,Germany,2020-03-09T10:00:00,40,0,0
Brandenburg,Germany,2020-03-09T10:00:00,6,0,0
Bremen,Germany,2020-03-09T10:00:00,4,0,0
Hamburg,Germany,2020-03-09T10:00:00,17,0,0
Hessen,Germany,2020-03-09T10:00:00,20,0,0
Mecklenburg-Vorpommern,Germany,2020-03-09T10:00:00,8,0,0
Niedersachsen,Germany,2020-03-09T10:00:00,33,0,0
Nordrhein-Westfalen,Germany,2020-03-09T10:00:00,484,0,0
Rheinland-Pfalz,Germany,2020-03-09T10:00:00,19,0,0
Saarland,Germany,2020-03-09T10:00:00,5,0,0
Sachsen,Germany,2020-03-09T10:00:00,10,0,0
Sachsen-Anhalt,Germany,2020-03-09T10:00:00,0,0,0
SchleswigHolstein,Germany,2020-03-09T10:00:00,9,0,0
Thüringen,Germany,2020-03-09T10:00:00,2,0,0
Gesamt,Germany,2020-03-09T10:00:00,1112,0,0
