Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württemberg,eGermany,2020-03-17T15:00:00,1479,2,0
Bayern,eGermany,2020-03-17T15:00:00,1109,4,0
Berlin,eGermany,2020-03-17T15:00:00,345,0,0
Brandenburg,eGermany,2020-03-17T15:00:00,73,0,0
Bremen,eGermany,2020-03-17T15:00:00,57,0,0
Hamburg,eGermany,2020-03-17T15:00:00,310,0,0
Hessen,eGermany,2020-03-17T15:00:00,373,0,0
Mecklenburg-Vorpommern,eGermany,2020-03-17T15:00:00,45,0,0
Niedersachsen,eGermany,2020-03-17T15:00:00,325,0,0
Nordrhein-Westfalen,eGermany,2020-03-17T15:00:00,2105,6,0
Rheinland-Pfalz,eGermany,2020-03-17T15:00:00,442,0,0
Saarland,eGermany,2020-03-17T15:00:00,75,0,0
Sachsen,eGermany,2020-03-17T15:00:00,182,0,0
Sachsen-Anhalt,eGermany,2020-03-17T15:00:00,58,0,0
SchleswigHolstein,eGermany,2020-03-17T15:00:00,127,0,0
Thüringen,eGermany,2020-03-17T15:00:00,51,0,0
Gesamt,eGermany,2020-03-17T15:00:00,7156,12,0
